 "subject" , "predicate" , "object" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/Quartets" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://sw.opencyc.org/2008/06/10/concept/Mx4rvVipUpwpEbGdrcN5Y29ycA" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://sw.opencyc.org/2008/06/10/concept/Mx4rvViqQZwpEbGdrcN5Y29ycA" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/ontology/MusicalArtist" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/MusicalGroupsEstablishedIn1960" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/1960sMusicGroups" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/BeatGroups" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://sw.opencyc.org/2008/06/10/concept/Mx4rwHg1oZwpEbGdrcN5Y29ycA" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/MusicalGroupsDisestablishedIn1970" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/ontology/Resource" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/ontology/Person" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/ontology/Artist" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/EnglishMusicalGroups" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/EnglishRockMusicGroups" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://sw.opencyc.org/2008/06/10/concept/Mx4rwMjWjJwpEbGdrcN5Y29ycA" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://dbpedia.org/property/origin" , "http://dbpedia.org/resource/Liverpool" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://dbpedia.org/property/origin" , "http://dbpedia.org/resource/England" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://dbpedia.org/property/format" , "http://dbpedia.org/resource/Ogg" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://dbpedia.org/property/hasPhotoCollection" , "http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/The_Beatles" ,
 "http://dbpedia.org/resource/The_Beatles" , "http://xmlns.com/foaf/0.1/name" , "The Beatles" ,
 "http://dbpedia.org/class/yago/Quartets" , "http://www.w3.org/2000/01/rdf-schema#subClassOf" , "http://dbpedia.org/class/yago/Quartet108247251" ,
 "http://dbpedia.org/class/yago/Quartets" , "http://www.w3.org/2000/01/rdf-schema#label" , "quartet" ,
 "http://dbpedia.org/ontology/MusicalArtist" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2002/07/owl#Class" ,
 "http://dbpedia.org/ontology/MusicalArtist" , "http://www.w3.org/2000/01/rdf-schema#subClassOf" , "http://dbpedia.org/ontology/Artist" ,
 "http://dbpedia.org/ontology/MusicalArtist" , "http://www.w3.org/2000/01/rdf-schema#label" , "Musical Artist" ,
 "http://dbpedia.org/class/yago/MusicalGroupsEstablishedIn1960" , "http://www.w3.org/2000/01/rdf-schema#subClassOf" , "http://dbpedia.org/class/yago/MusicalOrganization108246613" ,
 "http://dbpedia.org/class/yago/MusicalGroupsEstablishedIn1960" , "http://www.w3.org/2000/01/rdf-schema#label" , "group established in 1960" ,
